lat,lon,iata,name,city,country,elevation
25.324307,-80.275729,OCA,Ocean Reef Club Airport,Key Largo,US,6.4
60.080849,-142.495494,CYT,Yakataga Airport,Yakataga,US,16
62.509183,-153.890626,FWL,Farewell Airport,Farewell,US,1535
38.851937,-106.932821,CSE,Crested Butte Airpark,Crested Butte,US,8980
31.823711,-107.626967,CUS,Columbus Municipal Airport,Columbus,US,4024
30.251813,-98.622531,JCY,Lbj Ranch Airport,Johnson City,US,1515
59.969019,-141.66177,ICY,Icy Bay Airport,Icy Bay,US,50
66.176133,-155.684817,HGZ,Hog River Airport,Hogatza,US,534
30.593175,-89.873478,GWV,Fokker Field,Bush,US,50
28.982194,-95.579669,BZT,Eagle Air Park,Brazoria,US,15
48.578992,-122.826291,BYW,Blakely Island Airport,Blakely Island,US,66
60.588867,-152.161977,DRF,Drift River Airport,Kenai,US,30
41.230871,-89.615652,BDF,Rinkenberger Airport,Bradford,US,808
40.914799,-72.780396,CTO,Calverton Executive Airpark,Calverton,US,75.2
32.954293,-90.845933,RFK,Rollang Field,Rolling Fork,US,106
29.866039,-90.022293,BCS,Southern Seaplane Airport,Belle Chasse,US,0
48.490101,-122.832121,CWS,Center Island Airport,Center Island,US,115
36.253495,-75.788524,DUF,Pine Island Airport,Corolla,US,16
48.672878,-123.175745,SSW,Stuart Island Airpark,Stuart Island,US,10
39.474333,-123.795571,FOB,Fort Bragg Airport,Fort Bragg,US,71
42.042164,-101.059661,MHN,Hooker County Airport,Mullen,US,3240
44.316717,-75.899673,AXB,Maxson Airfield,Alexandria Bay,US,340
33.594762,-102.043418,REE,Reese Airpark,Lubbock,US,3338
48.71177,-123.018242,WDN,Waldron Airstrip,East Sound,US,140
65.051826,-146.047432,CEX,Chena Hot Springs Airport,Chena Hot Springs,US,1195
64.560641,-164.442328,SOL,Solomon State Field,Solomon,US,25
55.801395,-160.899254,HED,Herendeen Bay Airport,Herendeen Bay,US,20
65.679275,-164.798807,TWE,Taylor Airport,Taylor,US,440
70.910745,-153.242215,LNI,Lonely Air Station,Lonely,US,17
65.907658,-161.926306,CDL,Candle 2 Airport,Candle,US,15
60.423064,-146.145909,BSW,Boswell Bay Airport,Boswell Bay,US,230
38.016866,-122.520809,SRF,San Rafael Airport,San Rafael,US,5
39.710556,-121.6165,PYS,Paradise Skypark Airport,Paradise,US,1300
22.20919,-159.445534,HPV,Princeville Airport,Hanalei,US,344
37.203178,-107.869195,AMK,Animas Air Park,Durango,US,6684
45.470472,-105.457139,BDX,Broadus Airport,Broadus,US,3282
39.60375,-116.003611,EUE,Eureka Airport,Eureka,US,5957.8
41.975831,-114.658016,KPT,Jackpot/Hayden Field,Jackpot,US,5223.7
61.961477,-162.942355,PQS,Pilot Station Airport,Pilot Station,US,473
41.252139,-72.031639,FID,Elizabeth Field,Fishers Island,US,7.2
43.387421,-95.139468,RTL,Spirit Lake Municipal Airport,Spirit Lake,US,1434
42.734861,-94.245472,HUD,Humboldt Municipal Airport,Humboldt,US,1098.3
48.053806,-122.810639,TWD,Jefferson County International Airport,Port Townsend,US,110.1
36.716444,-110.228444,MVM,Kayenta Airport,Kayenta,US,5687.5
42.291306,-73.710333,HCC,Columbia County Airport,Hudson,US,198.1
34.146972,-97.122667,AHD,Ardmore Downtown Executive Airport,Ardmore,US,844.9
35.986111,-113.816917,GCW,Grand Canyon West Airport,Peach Springs,US,4816.7
64.424447,-156.843339,KKK,Kalakaket Creek Air Station,Kalakaket Creek,US,1598
38.990611,-122.900722,CKE,Lampson Field,Lakeport,US,1380.1
41.729983,-122.544481,ROF,Montague-Yreka Rohrer Field,Montague,US,2527
41.262919,-122.272037,MHS,Dunsmuir Municipal-Mott Airport,Dunsmuir,US,3261.4
43.778254,-71.75385,PLY,Plymouth Municipal Airport,Plymouth,US,506
42.009994,-101.770064,PGC,Grant County Airport,Hyannis,US,3737
38.42856,-105.106854,CNE,Fremont County Airport,Canon City,US,5442.4
36.2565,-113.230889,GCT,Grand Canyon Bar Ten Airstrip,Whitmore,US,4100
61.359131,-155.440386,LVD,Lime Village Airport,Lime Village,US,545
43.387135,-72.187614,NWH,Parlin Field,Newport,US,783.9
30.906222,-101.889806,IRB,Iraan Municipal Airport,Iraan,US,2200
39.580806,-79.335944,ODM,Garrett County Airport,Oakland,US,2933.4
63.378985,-153.284215,TLF,Telida Airport,Telida,US,650
39.943917,-120.945389,GNF,Gansner Field,Quincy,US,3418.6
42.579318,-121.879014,CHZ,Chiloquin State Airport,Chiloquin,US,4221
38.315709,-76.552159,LTW,St Mary's County Regional Airport,Leonardtown,US,141.6
34.686949,-81.641164,USC,"Union County, Troy Shelton Field",Union,US,609.9
40.341583,-99.907806,AHF,Arapahoe Municipal Airport,Arapahoe,US,2273
40.399089,-74.659006,PCT,Princeton Airport,Princeton/Rocky Hill,US,128.2
36.577577,-94.8619,NRI,Grand Lake Regional Airport,Afton,US,792
42.510121,-123.38799,GTP,Grants Pass Airport,Grants Pass,US,1130.1
63.124694,-142.518556,TEH,Tetlin Airport,Tetlin,US,1670.9
41.835889,-86.225167,NLE,Jerry Tyler Memorial Airport,Niles,US,750.4
38.428272,-92.875264,VRS,Roy Otten Memorial Airfield,Versailles,US,1027
47.922056,-119.083,GCD,Grand Coulee Dam Airport,Electric City,US,1593.1
35.650565,-112.148092,VLE,Valle Airport,Grand Canyon,US,5999
39.331417,-111.612611,NTJ,Sanpete County Regional Airport,Manti,US,5515.8
39.029128,-111.838258,SBO,Salina-Gunnison Airport,Salina,US,5159
40.524444,-74.598306,JVI,Central Jersey Regional Airport,Manville,US,85.9
60.867875,-162.274275,ATT,Atmautluak Airport,Atmautluak,US,18.6
65.467269,-148.653747,LIV,Livengood Camp Airport,Livengood,US,427.5
59.796944,-154.129972,PDB,Pedro Bay Airport,Pedro Bay,US,83.9
57.942155,-152.464993,KOZ,Ouzinkie Airport,Ouzinkie,US,99.8
30.466284,-92.423799,UCE,Eunice Airport,Eunice,US,42
42.415361,-124.424917,GOL,Gold Beach Municipal Airport,Gold Beach,US,20.5
40.093972,-108.763056,RNG,Rangely Airport,Rangely,US,5278
40.758742,-87.429125,KKT,Kentland Municipal Airport,Kentland,US,699
65.148167,-149.368583,MNT,Minto Al Wright Airport,Minto,US,499.8
59.282556,-158.617867,WKK,Aleknagik /New Airport,Aleknagik,US,63
45.538332,-90.276335,PRW,Prentice Airport,Prentice,US,1578.5
58.734663,-157.02521,NNK,Naknek Airport,Naknek,US,70
28.857093,-100.513468,EGP,Maverick County Memorial International Airport,Eagle Pass,US,887.3
36.833139,-114.055889,MFH,Mesquite Airport,Mesquite,US,1978.1
42.460385,-71.518012,MMN,Minute Man Air Field,Stow,US,280
44.312833,-83.422306,ECA,Iosco County Airport,East Tawas,US,605.3
40.733991,-73.972916,NYS,New York Skyports Inc Seaplane Base,New York,US,0
57.218306,-153.269832,OLH,Old Harbor Airport,Old Harbor,US,55
43.982818,-124.111367,FMU,Florence Municipal Airport,Florence,US,50.8
48.498507,-122.662468,OTS,Anacortes Airport,Anacortes,US,246.1
40.278414,-110.051377,ROL,Roosevelt Municipal Airport,Roosevelt,US,5176.1
38.831306,-107.645861,WPO,North Fork Valley Airport,Paonia,US,5788
34.193568,-95.649864,ATE,Antlers Municipal Airport,Antlers,US,576.7
57.523425,-157.395994,UGS,Ugashik Airport,Ugashik,US,43.8
60.351108,-162.654611,WTL,Tuntutuliak Airport,Tuntutuliak,US,16
59.074525,-160.275042,TWA,Twin Hills Airport,Twin Hills,US,82
56.255457,-158.777832,KCQ,Chignik Lake Airport,Chignik Lake,US,50
29.727549,-85.027378,AAF,Apalachicola Regional-Cleve Randolph Field,Apalachicola,US,19.6
40.652363,-75.440406,ABE,Lehigh Valley International Airport,Allentown,US,393.7
32.411333,-99.681889,ABI,Abilene Regional Airport,Abilene,US,1790.6
35.038932,-106.608262,ABQ,Albuquerque International Sunport Airport,Albuquerque,US,5354.9
45.446798,-98.422441,ABR,Aberdeen Regional Airport,Aberdeen,US,1301.9
31.53553,-84.194483,ABY,Southwest Georgia Regional Airport,Albany,US,196.1
44.988577,-85.198347,ACB,Antrim County Airport,Bellaire,US,623
41.253299,-70.060511,ACK,Nantucket Memorial Airport,Nantucket,US,46.8
31.612194,-97.230306,ACT,Waco Regional Airport,Waco,US,516.1
40.977826,-124.108469,ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,222.3
39.457576,-74.577155,ACY,Atlantic City International Airport,Atlantic City,US,74.8
41.867637,-84.077306,ADG,Lenawee County Airport,Adrian,US,802.2
34.804262,-96.6712,ADT,Ada Regional Airport,Ada,US,1015.9
34.303873,-97.020597,ADM,Ardmore Municipal Airport,Ardmore,US,776.7
32.968556,-96.836444,ADS,Addison Airport,Dallas,US,644.6
38.810796,-76.867384,ADW,Joint Base Andrews Airport,Camp Springs,US,279.5
43.681314,-93.368148,AEL,Albert Lea Municipal Airport,Albert Lea,US,1261
31.327372,-92.548556,AEX,Alexandria International Airport,Alexandria,US,88.1
38.973391,-104.820033,AFF,Usaf Academy Davis Airfield,Colorado Springs,US,6576
40.136472,-80.290194,WSG,Washington County Airport,Washington,US,1183.9
42.805134,-72.003022,AFN,Jaffrey Airfield Silver Ranch Airport,Jaffrey,US,1039.5
42.708771,-110.942171,AFO,Afton Lincoln County/General Boyd L Eddins Field,Afton,US,6220.9
32.990307,-97.319429,AFW,Perot Field/Fort Worth Alliance Airport,Fort Worth,US,723.2
40.354438,-79.929047,AGC,Allegheny County Airport,Pittsburgh,US,1251.5
33.227472,-93.217,AGO,Ralph C Weiser Field,Magnolia,US,319.4
33.369954,-81.964498,AGS,Augusta Regional At Bush Field,Augusta,US,145.7
40.265918,-120.150613,AHC,Amedee Army Air Field,Herlong,US,4011.6
45.281148,-92.375391,AHH,Amery Municipal Airport,Amery,US,1088.1
33.94864,-83.325914,AHN,Athens/Ben Epps Airport,Athens,US,812.2
42.053222,-102.80375,AIA,Alliance Municipal Airport,Alliance,US,3930.6
40.108611,-85.613,AID,Anderson Regional Airport,Anderson,US,919.1
33.649389,-81.685028,AIK,Aiken Regional Airport,Aiken,US,528.5
41.403833,-95.04875,AIO,Atlantic Municipal Airport,Atlantic,US,1164.9
33.106744,-88.197175,AIV,George Downer Airport,Aliceville,US,150
38.096028,-92.54948,AIZ,Lee C Fine Memorial Airport,Kaiser/Lake Ozark,US,868.8
40.175639,-103.222028,AKO,Colorado Plains Regional Airport,Akron,US,4716
41.037424,-81.467685,AKC,Akron Fulton International Airport,Akron,US,1067.3
42.749116,-73.80198,ALB,Albany International Airport,Albany,US,284.8
27.740889,-98.026944,ALI,Alice International Airport,Alice,US,178.2
32.839417,-105.991139,ALM,Alamogordo-White Sands Regional Airport,Alamogordo,US,4199.9
38.889917,-90.046,ALN,St Louis Regional Airport,Alton/St Louis,US,543.5
42.558449,-92.401023,ALO,Waterloo Regional Airport,Waterloo,US,873
37.435125,-105.867875,ALS,San Luis Valley Regional/Bergman Field,Alamosa,US,7539.8
46.092542,-118.284082,ALW,Walla Walla Regional Airport,Walla Walla,US,1194.4
32.91475,-85.962944,ALX,Thomas C Russell Field,Alexander City,US,685.8
35.219361,-101.705917,AMA,Rick Husband Amarillo International Airport,Amarillo,US,3606.7
43.322142,-84.687939,AMN,Gratiot Community Airport,Alma,US,754.1
41.992044,-93.621821,AMW,Ames Municipal Airport,Ames,US,955.6
33.58817,-85.858115,ANB,Anniston Regional Airport,Anniston,US,612.1
34.494587,-82.709381,AND,Anderson Regional Airport,Anderson,US,781.9
46.479222,-84.368389,SSM,Sault Ste Marie Municipal/Sanderson Field,Sault Ste Marie,US,716.4
38.538278,-106.048639,SLT,Salida/Harriett Alexander Field,Salida,US,7523
38.942876,-76.56839,ANP,Lee Airport,Annapolis,US,34.2
41.639698,-85.083493,ANQ,Tri-State Steuben County Airport,Angola,US,995
42.579222,-99.992972,ANW,Ainsworth Regional Airport,Ainsworth,US,2588.7
37.159889,-98.079528,ANY,Anthony Municipal Airport,Anthony,US,1343.1
40.707478,-84.027078,AOH,Lima Allen County Airport,Lima,US,975.3
40.296361,-78.320028,AOO,Altoona/Blair County Airport,Altoona,US,1503.4
39.570119,-104.849293,APA,Centennial Airport,Denver,US,5884.9
38.213189,-122.280687,APC,Napa County Airport,Napa,US,35.5
26.152441,-81.775639,APF,Naples Municipal Airport,Naples,US,8.3
39.465465,-76.168292,APG,Phillips Army Air Field,Aberdeen Proving Grounds (Aberdeen),US,44.5
38.06889,-77.318961,APH,Ap Hill Lz (Fort Ap Hill) Airport,Bowling Green,US,219.6
45.078083,-83.560306,APN,Alpena County Regional Airport,Alpena,US,689.5
35.060667,-85.585306,APT,Marion County/Brown Field,Jasper,US,641.2
34.575331,-117.186188,APV,Apple Valley Airport,Apple Valley,US,3061.5
60.969022,-149.119346,AQY,Girdwood Airport,Girdwood,US,164
30.037758,-91.883896,ARA,Acadiana Regional Airport,New Iberia,US,24
42.222928,-83.745709,ARB,Ann Arbor Municipal Airport,Ann Arbor,US,839
36.124667,-90.925111,ARG,Walnut Ridge Regional Airport,Walnut Ridge,US,279
29.254278,-96.154389,WHT,Wharton Regional Airport,Wharton,US,100
41.771917,-88.475667,AUZ,Aurora Municipal Airport,Chicago/Aurora,US,712
43.991833,-76.019417,ART,Watertown International Airport,Watertown,US,330.8
45.927917,-89.730944,ARV,Lakeland/Noble F Lee Memorial Field,Minocqua-Woodruff,US,1629.5
32.412167,-80.634354,BFT,Beaufort Executive Airport,Beaufort,US,9
39.221878,-106.868233,ASE,Aspen-Pitkin County/Sardy Field,Aspen,US,7837.9
36.176389,-94.11925,SPZ,Springdale Municipal Airport,Springdale,US,1352.5
42.782414,-71.514094,ASH,Boire Field,Nashua,US,200.4
32.5205,-94.307778,ASL,Harrison County Airport,Marshall,US,357
33.569504,-86.051201,ASN,Talladega Municipal Airport,Talladega,US,528.8
46.157978,-123.878624,AST,Astoria Regional Airport,Astoria,US,14.7
46.548528,-90.918972,ASX,John F Kennedy Memorial Airport,Ashland,US,826.5
46.023156,-99.352575,ASY,Ashley Municipal Airport,Ashley,US,2034.4
33.6367,-84.427864,ATL,Hartsfield/Jackson Atlanta International Airport,Atlanta,US,1026.2
32.851944,-104.467583,ATS,Artesia Municipal Airport,Artesia,US,3544.5
44.258093,-88.519072,ATW,Appleton International Airport,Appleton,US,918
44.913972,-97.154722,ATY,Watertown Regional Airport,Watertown,US,1749.3
44.320687,-69.797309,AUG,Augusta State Airport,Augusta,US,351.7
43.662639,-92.932917,AUM,Austin Municipal Airport,Austin,US,1233.5
38.95482,-121.081729,AUN,Auburn Municipal Airport,Auburn,US,1538.2
32.615111,-85.434,AUO,Auburn University Regional Airport,Auburn,US,776.8
30.194527,-97.669876,AUS,Austin-Bergstrom International Airport,Austin,US,541.5
44.926285,-89.627002,AUW,Wausau Downtown Airport,Wausau,US,1201
35.436113,-82.542047,AVL,Asheville Regional Airport,Asheville,US,2163.9
27.5913,-81.528967,AVO,Avon Park Executive Airport,Avon Park,US,160.4
41.338472,-75.723389,AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,US,961.7
32.409556,-111.218389,AVW,Marana Regional Airport,Marana,US,2031.5
33.404997,-118.415769,AVX,Catalina Airport,Avalon,US,1602
35.135056,-90.234444,AWM,West Memphis Municipal Airport,West Memphis,US,212.7
43.077798,-94.271774,AXG,Algona Municipal Airport,Algona,US,1216.1
45.866306,-95.394667,AXN,Alexandria Regional/Chandler Field,Alexandria,US,1425.3
34.698806,-99.338472,AXS,Altus/Quartz Mountain Regional Airport,Altus,US,1433.2
40.493548,-84.298074,AXV,Neil Armstrong Airport,Wapakoneta,US,912.3
36.422,-105.289905,AXX,Angel Fire Airport,Angel Fire,US,8379.5
31.248389,-82.395389,AYS,Waycross-Ware County Airport,Waycross,US,141.3
42.234389,-85.551556,AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,US,873.9
39.136101,-121.436587,BAB,Beale Afb Airport,Marysville,US,112.9
32.501933,-93.662628,BAD,Barksdale Afb Airport,Bossier City,US,165.2
42.157944,-72.715861,BAF,Westfield-Barnes Regional Airport,Westfield/Springfield,US,270
39.261915,-85.896339,CLU,Columbus Municipal Airport,Columbus,US,656.1
40.599056,-116.874333,BAM,Battle Mountain Airport,Battle Mountain,US,4536.1
45.331917,-95.650583,BBB,Benson Municipal Airport,Benson,US,1039.3
31.179278,-99.323917,BBD,Curtis Field,Brady,US,1827.4
36.532083,-93.200544,BKG,Branson Airport,Branson,US,1302
34.621709,-79.734359,BTN,Marlboro County Jetport/H E Avent Field,Bennettsville,US,146.8
41.436446,-99.642164,BBW,Broken Bow Municipal/Keith Glaze Field,Broken Bow,US,2546.3
37.209386,-80.41209,BCB,Virginia Tech/Montgomery Executive Airport,Blacksburg,US,2119.4
37.706447,-112.1458,BCE,Bryce Canyon Airport,Bryce Canyon,US,7589.9
26.378486,-80.107696,BCT,Boca Raton Airport,Boca Raton,US,12.9
48.73025,-94.611056,BDE,Baudette International Airport,Baudette,US,1085.4
37.583333,-109.483278,BDG,Blanding Municipal Airport,Blanding,US,5867.8
45.117028,-95.129333,ILL,Willmar Municipal/John L Rice Field,Willmar,US,1126
41.939032,-72.684316,BDL,Bradley International Airport,Windsor Locks,US,173.3
41.163481,-73.126176,BDR,Bridgeport/Sikorsky Airport,Bridgeport,US,8.5
40.039365,-105.22609,WBU,Boulder Municipal Airport,Boulder,US,5288
37.693917,-97.214917,BEC,Beech Factory Airport,Wichita,US,1408.6
42.469944,-71.289,BED,Laurence G Hanscom Field,Bedford,US,132
42.128381,-86.424881,BEH,Southwest Michigan Regional Airport,Benton Harbor,US,649.1
41.802954,-78.639966,BFD,Bradford Regional Airport,Bradford,US,2143.1
41.874028,-103.595639,BFF,Scottsbluff/Western Nebraska Regional/Wm  B Heilig Field,Scottsbluff,US,3967.3
47.529972,-122.301944,BFI,Boeing Field/King County International Airport,Seattle,US,21.6
35.433861,-119.057667,BFL,Meadows Field,Bakersfield,US,509.6
30.626781,-88.068091,BFM,Mobile International Airport,Mobile,US,26.2
38.840028,-86.445361,BFR,Virgil I Grissom Municipal Airport,Bedford,US,727.4
35.700889,-101.393667,BGD,Hutchinson County Airport,Borger,US,3055.2
30.971598,-84.636928,BGE,Decatur County Industrial Air Park,Bainbridge,US,141.3
42.208444,-75.979611,BGM,Greater Binghamton/Edwin A Link Field,Binghamton,US,1635.6
44.807444,-68.828139,BGR,Bangor International Airport,Bangor,US,192.1
44.449705,-68.36149,BHB,Hancock County/Bar Harbor Airport,Bar Harbor,US,83.2
33.563889,-86.752306,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,US,650
41.168111,-71.577833,BID,Block Island State Airport,Block Island,US,107.9
40.301278,-96.754111,BIE,Beatrice Municipal Airport,Beatrice,US,1323.6
31.849529,-106.380053,BIF,Biggs Army Air Field (Fort Bliss) Airport,Fort Bliss/El Paso/,US,3946.6
37.373111,-118.363611,BIH,Bishop Airport,Bishop,US,4124.3
45.807849,-108.543544,BIL,Billings Logan International Airport,Billings,US,3662.3
46.772734,-100.745738,BIS,Bismarck Municipal Airport,Bismarck,US,1661.3
30.410427,-88.924435,BIX,Keesler Afb Airport,Biloxi,US,32.6
39.908806,-105.117194,BJC,Rocky Mountain Metro Airport,Denver,US,5673.4
47.510722,-94.934722,BJI,Bemidji Regional Airport,Bemidji,US,1391.4
40.874844,-81.88826,BJJ,Wayne County Airport,Wooster,US,1135.5
32.718756,-98.891596,BKD,Stephens County Airport,Breckenridge,US,1284.2
44.837346,-117.80914,BKE,Baker City Municipal Airport,Baker City,US,3373.2
39.701761,-104.751961,BFK,Buckley Space Force Base Airport,Aurora,US,5663
41.517861,-81.682639,BKL,Burke Lakefront Airport,Cleveland,US,583.5
36.745111,-97.349583,BWL,Blackwell-Tonkawa Municipal Airport,Blackwell,US,1030
37.074738,-77.951812,BKT,Allan C Perkinson/Blackstone Army Air Field,Blackstone,US,437.4
37.787333,-81.124167,BKW,Raleigh County Memorial Airport,Beckley,US,2503.8
44.304528,-96.818917,BKX,Brookings Regional Airport,Brookings,US,1647.5
37.295947,-81.207518,BLF,Mercer County Airport,Bluefield,US,2856.8
33.619167,-114.716889,BLH,Blythe Airport,Blythe,US,399.6
48.792694,-122.537528,BLI,Bellingham International Airport,Bellingham,US,171
40.186778,-74.124556,BLM,Monmouth Executive Airport,Belmar/Farmingdale,US,153.4
39.274972,-120.70975,BLU,Blue Canyon - Nyack Airport,Emigrant Gap,US,5283.5
38.545173,-89.835186,BLV,Scott Afb/Midamerica St Louis Airport,Belleville,US,459.1
41.554306,-112.06225,BMC,Brigham City Regional Airport,Brigham City,US,4229.9
39.146021,-86.61668,BMG,Monroe County Airport,Bloomington,US,845.5
40.477111,-88.915917,BMI,Central Il Regional/Bloomington-Normal Airport,Bloomington/Normal,US,871.4
44.575361,-71.175917,BML,Berlin Regional Airport,Berlin,US,1161.3
30.070204,-94.215097,BMT,Beaumont Municipal Airport,Beaumont,US,31.9
36.124475,-86.678181,BNA,Nashville International Airport,Nashville,US,599
33.922556,-116.850972,BNG,Banning Municipal Airport,Banning,US,2222.4
33.257668,-81.388219,BNL,Barnwell Regional Airport,Barnwell,US,246.3
43.591906,-118.955437,BNO,Burns Municipal Airport,Burns,US,4148.2
42.049556,-93.847611,BNW,Boone Municipal Airport,Boone,US,1160.3
43.564361,-116.222861,BOI,Boise Air Trml/Gowen Field,Boise,US,2871.7
42.073944,-124.289778,BOK,Brookings Airport,Brookings,US,461.9
42.362944,-71.006389,BOS,General Edward Lawrence Logan International Airport,Boston,US,19.1
27.943359,-81.783437,BOW,Bartow Executive Airport,Bartow,US,124.6
32.212618,-101.521646,HCA,Big Spring/Mc Mahon-Wrinkle Airport,Big Spring,US,2572.8
42.582222,-110.108861,BPI,Miley Memorial Field,Big Piney,US,6993.6
36.368943,-92.47052,WMH,Baxter County Airport,Mountain Home,US,928
29.950831,-94.020699,BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,US,14.8
31.259035,-81.466316,BQK,Brunswick Golden Isles Airport,Brunswick,US,25.6
46.404222,-94.133806,BRD,Brainerd Lakes Regional Airport,Brainerd,US,1232.2
40.782972,-91.125583,BRL,Southeast Iowa Regional Airport,Burlington,US,698.7
25.906139,-97.426,BRO,Brownsville/South Padre Island International Airport,Brownsville,US,22.4
37.814333,-85.499639,BRY,Samuels Field,Bardstown,US,668.8
40.868149,-111.927499,BTF,Skypark Airport,Bountiful,US,4237.1
42.306474,-85.250089,BTL,Battle Creek Executive At Kellogg Field,Battle Creek,US,951.6
45.954806,-112.497472,BTM,Bert Mooney Airport,Butte,US,5550.5
45.815028,-97.742806,TTO,Britton Municipal Airport,Britton,US,1318.4
40.776583,-79.951083,BTP,Pittsburgh/Butler Regional Airport,Butler,US,1248.4
30.532917,-91.149889,BTR,"Baton Rouge Metro, Ryan Field",Baton Rouge,US,69.7
44.471955,-73.153276,BTV,Patrick Leahy Burlington International Airport,Burlington,US,334.6
36.861133,-116.786399,BTY,Beatty Airport,Beatty,US,3169
41.777577,-99.150212,BUB,Cram Field,Burwell,US,2183.3
42.940427,-78.73057,BUF,Buffalo Niagara International Airport,Buffalo,US,726.8
38.289767,-94.340128,BUM,Butler Memorial Airport,Butler,US,893.7
34.200694,-118.358667,BUR,Bob Hope Airport,Burbank,US,778
40.772472,-80.391444,BFP,Beaver County Airport,Beaver Falls,US,1252.7
36.763361,-96.011194,BVO,Bartlesville Municipal Airport,Bartlesville,US,716.9
48.470526,-122.421689,MVW,Skagit Regional Airport,Burlington/Mount Vernon,US,145.1
35.947308,-114.861084,BLD,Boulder City Municipal Airport,Boulder City,US,2203.1
35.726222,-91.647444,BVX,Batesville Regional Airport,Batesville,US,465
42.584141,-70.916144,BVY,Beverly Regional Airport,Beverly,US,107.2
32.992937,-115.517263,BWC,Brawley Municipal Airport,Brawley,US,-127.8
31.793611,-98.9565,BWD,Brownwood Regional Airport,Brownwood,US,1386.7
36.964528,-86.419667,BWG,Bowling Green-Warren County Regional Airport,Bowling Green,US,547.2
39.175728,-76.668991,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US,143.4
46.244294,-96.607156,WAH,Harry Stern Airport,Wahpeton,US,968.2
30.813686,-89.864964,BXA,George R Carr Memorial Air Field,Bogalusa,US,119
33.422534,-112.686234,BXK,Buckeye Municipal Airport,Buckeye,US,1033
43.892355,-69.93883,NHZ,Brunswick Executive Airport,Brunswick,US,74.7
64.078303,-141.113375,BYA,Boundary Airport,Boundary,US,2940
44.381083,-106.721806,BYG,Johnson County Airport,Buffalo,US,4970
35.964333,-89.943944,BYH,Arkansas International Airport,Blytheville,US,254.1
42.542611,-113.771528,BYI,Burley Municipal Airport,Burley,US,4153.5
35.28053,-116.630029,BYS,Bicycle Lake Army Air Field,Fort Irwin/Barstow,US,2350
28.973247,-95.863452,BBC,Bay City Regional Airport,Bay City,US,44.9
45.777236,-111.15026,BZN,Bozeman Yellowstone International Airport,Bozeman,US,4473.4
36.162111,-120.294833,CLG,New Coalinga Municipal Airport,Coalinga,US,624.8
44.275348,-85.418944,CAD,Wexford County Airport,Cadillac,US,1306.5
33.938838,-81.119536,CAE,Columbia Metro Airport,Columbia,US,235.9
40.495222,-107.521667,CIG,Craig-Moffat Airport,Craig,US,6197.5
40.915056,-81.443639,CAK,Akron-Canton Regional Airport,Akron,US,1225.5
36.446291,-103.149932,CAO,Clayton Municipal Airpark,Clayton,US,4969.8
46.871639,-68.018194,CAR,Caribou Municipal Airport,Caribou,US,620.3
39.615306,-78.761478,CBE,Greater Cumberland Regional Airport,Cumberland,US,775
41.260111,-95.758639,CBF,Council Bluffs Municipal Airport,Council Bluffs,US,1244.8
39.427459,-101.04662,CBK,Shalz Field,Colby,US,3188.2
33.645175,-88.445919,CBM,Columbus Afb Airport,Columbus,US,218
34.111609,-117.687388,CCB,Cable Airport,Upland,US,1443.5
37.989657,-122.056902,CCR,Buchanan Field,Concord,US,25.6
43.072504,-92.610809,CCY,Northeast Iowa Regional Airport,Charles City,US,1125.2
44.569114,-72.017979,LLX,Caledonia County Airport,Lyndonville,US,1187.6
37.70097,-113.098851,CDC,Cedar City Regional Airport,Cedar City,US,5622.3
33.622806,-92.763389,CDH,Harrell Field,Camden,US,129.6
29.134247,-83.050583,CDK,George T Lewis Airport,Cedar Key,US,11
34.283593,-80.564855,CDN,Woodward Field,Camden,US,302.5
42.837558,-103.095402,CDR,Chadron Municipal Airport,Chadron,US,3297.8
34.433778,-100.288,CDS,Childress Municipal Airport,Childress,US,1953.8
40.875225,-74.28135,CDW,Essex County Airport,Caldwell,US,172.3
37.648598,-97.250599,CEA,Cessna Acft Field,Wichita,US,1378
41.780167,-124.236528,CEC,Jack Mc Namara Field,Crescent City,US,60.7
42.194016,-72.534787,CEF,Westover Arb/Metro Airport,Springfield/Chicopee,US,241.1
34.672227,-82.885897,CEU,Oconee County Regional Airport,Clemson,US,890.6
39.698194,-85.131139,CEV,Mettel Field,Connersville,US,866.3
30.778831,-86.522113,CEW,Bob Sikes Airport,Crestview,US,213.5
36.664581,-88.372776,CEY,Kyle-Oakley Field,Murray,US,577.3
37.303002,-108.628044,CEZ,Cortez Municipal Airport,Cortez,US,5917.6
30.715694,-96.331361,CFD,Coulter Field,Bryan,US,366.7
43.458861,-83.445447,TZC,Tuscola Area Airport,Caro,US,704.3
32.957039,-109.211162,CFT,Greenlee County Airport,Clifton/Morenci,US,3797.8
37.094,-95.572,CFV,Coffeyville Municipal Airport,Coffeyville,US,754.4
55.478831,-133.147801,CGA,Craig Seaplane Base,Craig,US,0
38.539321,-76.030395,CGE,Cambridge-Dorchester Regional Airport,Cambridge,US,19.6
